alias,title,id,name,review_count,rating,price,coordinates_latitude,coordinates_longitude,location_address1,categoria_estandarizada,rating_ponderado
tapasmallplates,Tapas/Small Plates,rRtJszPocMT8XoFO5nDE2A,The Western,5,4.8,,41.95965026446677,-87.68835159999999,4301 N Western Ave,Carnes,4.377312216998501
beerbar,Beer Bar,rRtJszPocMT8XoFO5nDE2A,The Western,5,4.8,,41.95965026446677,-87.68835159999999,4301 N Western Ave,Otro,4.377312216998501
cocktailbars,Cocktail Bars,rRtJszPocMT8XoFO5nDE2A,The Western,5,4.8,,41.95965026446677,-87.68835159999999,4301 N Western Ave,Otro,4.377312216998501
mexican,Mexican,dKbk0C9z_mRXh24-0vIHqA,Mirra,141,4.3,,41.917959764150055,-87.67737831920385,1954 W Armitage Ave,Carnes,4.357008844905215
indpak,Indian,dKbk0C9z_mRXh24-0vIHqA,Mirra,141,4.3,,41.917959764150055,-87.67737831920385,1954 W Armitage Ave,Carnes,4.357008844905215
breakfast_brunch,Breakfast & Brunch,BG3_Mip98T1krk99s-0pRw,Ahuevo,21,4.8,,41.874556,-87.640358,520 W Harrison St,Carnes,4.39029303183156
burgers,Burgers,BG3_Mip98T1krk99s-0pRw,Ahuevo,21,4.8,,41.874556,-87.640358,520 W Harrison St,Carnes,4.39029303183156
sandwiches,Sandwiches,BG3_Mip98T1krk99s-0pRw,Ahuevo,21,4.8,,41.874556,-87.640358,520 W Harrison St,Carnes,4.39029303183156
asianfusion,Asian Fusion,RNsldUTu1LKKcRZYPw3gjA,Kapitan,159,4.3,,41.92008,-87.66261,2142 N Clybourn Ave,Vegetariano/Vegano,4.355451698913874
malaysian,Malaysian,RNsldUTu1LKKcRZYPw3gjA,Kapitan,159,4.3,,41.92008,-87.66261,2142 N Clybourn Ave,Otro,4.355451698913874
singaporean,Singaporean,RNsldUTu1LKKcRZYPw3gjA,Kapitan,159,4.3,,41.92008,-87.66261,2142 N Clybourn Ave,Otro,4.355451698913874
newamerican,New American,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,1078,4.2,$$,41.92555,-87.70112,2427 N Milwaukee Ave,Carnes,4.254843263361371
breakfast_brunch,Breakfast & Brunch,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,1078,4.2,$$,41.92555,-87.70112,2427 N Milwaukee Ave,Carnes,4.254843263361371
cocktailbars,Cocktail Bars,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,1078,4.2,$$,41.92555,-87.70112,2427 N Milwaukee Ave,Otro,4.254843263361371
newamerican,New American,Ryv0LRKMXUAGVnpbxp_D8A,Fora,111,4.0,$$,41.88742,-87.65185,311 N Morgan St,Carnes,4.305307151529039
cocktailbars,Cocktail Bars,Ryv0LRKMXUAGVnpbxp_D8A,Fora,111,4.0,$$,41.88742,-87.65185,311 N Morgan St,Otro,4.305307151529039
wine_bars,Wine Bars,Ryv0LRKMXUAGVnpbxp_D8A,Fora,111,4.0,$$,41.88742,-87.65185,311 N Morgan St,Otro,4.305307151529039
